[[難易度表/おに/MagiCatz]]

//-むずくね？笑 --  &new{2020-10-03 (土) 09:37:30};
-暫定の平均密度は5.13。かなり低い --  &new{2020-10-03 (土) 09:54:34};
-猫より個人差やばそう --  &new{2020-10-03 (土) 10:03:58};
-これ初全良は相当遅くに出そう。 --  &new{2020-10-03 (土) 11:10:28};
-スクロール速度、速いと思ってたところが遅くて、遅いと思ってたところが速くなってる --  &new{2020-10-03 (土) 11:13:16};
-↑8時頃には出てました --  &new{2020-10-03 (土) 11:14:11};
-hsオプション付けたいけど、そうすると中盤が早すぎるねんな… --  &new{2020-10-03 (土) 11:17:03};
-↑4 このコメが出てる時点で全良の直撮り動画出てるのほんとヤバいよ… --  &new{2020-10-03 (土) 11:56:07};
-BPM290で来ると思ってた --  &new{2020-10-03 (土) 11:58:07};
-クリアだけなら逆詐称 --  &new{2020-10-03 (土) 12:23:09};
-1002400点(732×1350+100×142) --  &new{2020-10-03 (土) 12:34:06};
-前回の4週連続の第3週目が「Dog」biteで今回の第3週目がMagi「Cat」zかぁ。 --  &new{2020-10-03 (土) 14:05:13};
-慣れるとめっちゃ楽しそうな譜面 --  &new{2020-10-03 (土) 15:14:03};
-後半より前半の方がリズム掴みにくくて難しい --  &new{2020-10-03 (土) 18:22:57};
-かんたん116、ふつう223、むずかしい365コンボ。★の数の割には物量多め --  &new{2020-10-03 (土) 18:36:40};
-遅いところがBPM290やったらワンチャン星9になってた説 --  &new{2020-10-03 (土) 20:54:12};
-これ増渕さんか？ --  &new{2020-10-03 (土) 21:14:00};
-後半サビのピアノの音を拾って高速12分長複合地帯を作って欲しかった --  &new{2020-10-03 (土) 21:59:07};
-↑9 タイドラ裏出来るのにこれ3回ノルマ落ちした俺は一体… --  &new{2020-10-03 (土) 22:15:20};
-↑10 それはないと思う --  &new{2020-10-03 (土) 22:31:46};
-31小節目のBPM上がるタイミングを1/8小節前にすると217.5地帯が少し遅れないで入れます --  &new{2020-10-03 (土) 23:10:00};
-#MEASURE 5/4 100000000000000000 #BPMCHANGE 217.5 000000000000000000000000000000000000000000,こんなかんじです --  &new{2020-10-03 (土) 23:10:13};
-マッピーメドレーを現代化にして大幅強化した譜面か？ --  &new{2020-10-04 (日) 00:30:00};
-18小節目ってマジでこの画像の通りのリズムなの？めちゃくちゃ複雑だな… --  &new{2020-10-04 (日) 00:41:39};
-うわフルしても称号ないのか…結構楽しい譜面なんだがな… --  &new{2020-10-04 (日) 15:38:21};
-称号がなくても楽しければ十分だろう --  &new{2020-10-04 (日) 16:34:15};
-速度と譜面で過小評価してた。思ったより難しい --  &new{2020-10-05 (月) 16:48:51};
-3拍子地帯の揺れやばい --  &new{2020-10-05 (月) 19:34:11};
-↑おそらく変化のみで揺れてはないかと --  &new{2020-10-06 (火) 01:43:43};
-↑23 HS1.5が個人的に一番やりやすかったね、高速もまだ見える速さだったし --  &new{2020-10-06 (火) 06:19:34};
-BEMANIには「Strayed&#67;atz」って曲があるけどシリーズ物かな？作曲者も同じだし --  &new{2020-10-06 (火) 17:35:51};
-接続勢はそこまで　精度勢は地獄 --  &new{2020-10-06 (火) 18:11:21};
//-DEEMO様の曲もっと増えて欲しい　そして　あの方も --  &new{2020-10-06 (火) 19:05:16};
-↑2 せやで --  &new{2020-10-07 (水) 08:00:52};
-全然体力消費がない、完全に技術より。 --  &new{2020-10-07 (水) 09:30:19};
-これもシグナスと同じくメトリックモジュレーションの一つ --  &new{2020-10-07 (水) 12:13:58};
-NSでは選曲画面での流れ出しが24小節からになっている --  &new{2020-10-08 (木) 00:50:05};
-解析お疲れ様です --  &new{2020-10-08 (木) 01:22:21};
//-これのフルコン称号教えて下さい！ --  &new{2020-10-10 (土) 23:54:19};
//-↑ないよ --  &new{2020-10-11 (日) 00:20:45};
//-↑2　その他の所に実装されてないと書いてあるよ --  &new{2020-10-12 (月) 00:06:57};
-称号はありますか？ --  &new{2020-10-22 (木) 18:35:24};
-意外と今までになかったタイプの譜面 --  &new{2020-11-09 (月) 22:21:07};
-[[iOS配点 490 100>https://www.youtube.com/watch?v=K55QpYLDEU0]] --  &new{2020-12-18 (金) 15:48:21};
-DEEMOのイメージなのかもしれないけど、顔の無いどす黒い巨人がリズミカルに町を蹂躙している雰囲気あるな。 --  &new{2020-12-28 (月) 17:36:42};
-1区2区耐えゲー。ハネリズムが得意ならワンチャン須佐之男より易しいけど苦手ならサイジェラ裏とかナイサバ裏より難しいかもしれない。(クリア) --  &new{2021-01-08 (金) 18:24:25};
-55打風船重い。流石にココロボよりは軽いけど --  &new{2021-01-09 (土) 11:14:29};
-複合地帯すこ --  &new{2021-01-24 (日) 11:42:08};
-曲も譜面も雰囲気が頻繁に変わるから、世界中を旅してる気分が味わえて楽しい --  &new{2021-02-12 (金) 14:37:15};
-譜面ジャーはくぼけん説を推す --  &new{2021-04-17 (土) 01:22:27};
//-普通に星9妥当だろ --  &new{2021-04-18 (日) 19:16:35};
//-↑ハネリズム強者マジ裏山、コツおしえて〜よ --  &new{2021-04-18 (日) 19:19:14};
//-これ玄人に来て欲しいけど他者の版権曲だし段位入りはなさそう。 --  &new{2021-06-04 (金) 08:41:16};
//-別にそんな決まりないでしょ --  &new{2021-06-04 (金) 11:34:20};
//-ゴモアとかフラワーとか段位入りしてるしね --  &new{2021-06-12 (土) 02:42:36};
//-玄人には甘すぎない？RIDGE RACER STEPSが九段だから十段くらいが妥当かと --  &new{2021-07-21 (水) 14:28:26};
//-ほんとに「森羅万象」の作曲者！　曲の感じが全然違う。w(ﾟДﾟ)w --  &new{2021-07-31 (土) 17:31:53};
-1.3つけると見やすい(粉蜜柑 --  &new{2021-08-10 (火) 20:49:34};
-↑そしたらもう☆8&#12316;9体力譜面苦手な人の逃げ水なんですねこれが。 --  &new{2021-08-10 (火) 22:00:47};
-70小節の連打で16打出ました。秒速いくつですか？ --  &new{2021-08-12 (木) 10:19:35};
-玄人2曲目に来そうな譜面してる --  &new{2021-08-26 (木) 15:08:17};
-↑秒で予想砕け散ってて草 --  &new{2021-08-26 (木) 16:01:45};
-↑3 秒速16打 --  &new{2021-10-14 (木) 17:16:45};
-偶数地帯がムズい --  &new{2022-03-29 (火) 16:57:08};
//-今日やって泣きを見た --  &new{2022-04-12 (火) 22:21:50};
-Hand Overと比べると、ノーツの密集に耐えれれば安定性はむしろ高いと思う --  &new{2022-05-15 (日) 12:30:09};
