[[難易度表/おに/MagiCatz]]

-むずくね？笑 --  &new{2020-10-03 (土) 09:37:30};
-暫定の平均密度は5.13。かなり低い --  &new{2020-10-03 (土) 09:54:34};
-猫より個人差やばそう --  &new{2020-10-03 (土) 10:03:58};
-これ初全良は相当遅くに出そう。 --  &new{2020-10-03 (土) 11:10:28};
-スクロール速度、速いと思ってたところが遅くて、遅いと思ってたところが速くなってる --  &new{2020-10-03 (土) 11:13:16};
-↑8時頃には出てました --  &new{2020-10-03 (土) 11:14:11};
-hsオプション付けたいけど、そうすると中盤が早すぎるねんな… --  &new{2020-10-03 (土) 11:17:03};
-↑4 このコメが出てる時点で全良の直撮り動画出てるのほんとヤバいよ… --  &new{2020-10-03 (土) 11:56:07};
-BPM290で来ると思ってた --  &new{2020-10-03 (土) 11:58:07};
-クリアだけなら逆詐称 --  &new{2020-10-03 (土) 12:23:09};
-1002400点(732×1350+100×142) --  &new{2020-10-03 (土) 12:34:06};
-前回の4週連続の第3週目が「Dog」biteで今回の第3週目がMagi「Cat」zかぁ。 --  &new{2020-10-03 (土) 14:05:13};
-慣れるとめっちゃ楽しそうな譜面 --  &new{2020-10-03 (土) 15:14:03};
-後半より前半の方がリズム掴みにくくて難しい --  &new{2020-10-03 (土) 18:22:57};
-かんたん116、ふつう223、むずかしい365コンボ。★の数の割には物量多め --  &new{2020-10-03 (土) 18:36:40};
-遅いところがBPM290やったらワンチャン星9になってた説 --  &new{2020-10-03 (土) 20:54:12};
-これ増渕さんか？ --  &new{2020-10-03 (土) 21:14:00};
-後半サビのピアノの音を拾って高速12分長複合地帯を作って欲しかった --  &new{2020-10-03 (土) 21:59:07};
-↑9 タイドラ裏出来るのにこれ3回ノルマ落ちした俺は一体… --  &new{2020-10-03 (土) 22:15:20};
-↑10 それはないと思う --  &new{2020-10-03 (土) 22:31:46};
-31小節目のBPM上がるタイミングを1/8小節前にすると217.5地帯が少し遅れないで入れます --  &new{2020-10-03 (土) 23:10:00};
-#MEASURE 5/4 100000000000000000 #BPMCHANGE 217.5 000000000000000000000000000000000000000000,こんなかんじです --  &new{2020-10-03 (土) 23:10:13};
-マッピーメドレーを現代化にして大幅強化した譜面か？ --  &new{2020-10-04 (日) 00:30:00};
-18小節目ってマジでこの画像の通りのリズムなの？めちゃくちゃ複雑だな… --  &new{2020-10-04 (日) 00:41:39};
-うわフルしても称号ないのか…結構楽しい譜面なんだがな… --  &new{2020-10-04 (日) 15:38:21};
-称号がなくても楽しければ十分だろう --  &new{2020-10-04 (日) 16:34:15};
-速度と譜面で過小評価してた。思ったより難しい --  &new{2020-10-05 (月) 16:48:51};
-3拍子地帯の揺れやばい --  &new{2020-10-05 (月) 19:34:11};
-↑おそらく変化のみで揺れてはないかと --  &new{2020-10-06 (火) 01:43:43};
