[[難易度表/おに/氷竜 〜Kooryu〜(裏譜面)]]

-アイスブレーカーってめっちゃかっこいいな --  &new{2019-12-05 (木) 20:23:30};
//-俺が残したコメント無くなってるよん --  &new{2019-12-05 (木) 21:17:51};
-273.15℃は絶対零度 --  &new{2019-12-05 (木) 22:52:31};
//--273.15℃は絶対零度 --  &new{2019-12-05 (木) 22:53:02};
-加速後もしれっと24分入ってくるのやばい --  &new{2019-12-05 (木) 23:08:37};
-8分の中に24分が混じってる配置はかなり珍しい気がする --  &new{2019-12-05 (木) 23:22:32};
-これでもかと言うほど逆手パラダイス --  &new{2019-12-06 (金) 00:14:19};
-今回の冬ごほうび曲☆10どっちもBPM270ビームってヤバイな --  &new{2019-12-06 (金) 07:21:35};
-↑5　絶対零度は「氷点下」273.15℃です --  &new{2019-12-06 (金) 08:47:55};
-水の融点が273.15K --  &new{2019-12-06 (金) 09:53:22};
-狙ってるかは分からないけど、コンボ数が1059（テンゴク）なの洒落てると思う --  &new{2019-12-06 (金) 10:59:42};
-↑これと天国とどういう関係が？ --  &new{2019-12-06 (金) 13:04:37};
-↑MVで最終的に主人公側が全滅する描写があるからじゃ？ --  &new{2019-12-06 (金) 15:18:39};
-そのうち炎竜とか来るんだろうな… --  &new{2019-12-06 (金) 16:35:49};
-ドライアイスの沸点は194K(-79℃) --  &new{2019-12-06 (金) 18:18:51};
-30〜33、34〜37小節は互いにあべこべですね --  &new{2019-12-06 (金) 18:21:59};
-ラストのBPM273の24分は秒速27.3打で瞬間最高密度歴代8位になりました --  &new{2019-12-06 (金) 18:24:23};
-ラス殺しがヒドい --  &new{2019-12-06 (金) 18:46:36};
-一応竜シリーズのソース→https://youtu.be/KDMGXowxekI --  &new{2019-12-06 (金) 19:14:40};
-「こおりゅう」って氷と竜をかけてるのか。 --  &new{2019-12-07 (土) 00:16:15};
//-↑　氷と竜をかけてるって発想は思い付かなかった！ --  &new{2019-12-07 (土) 00:20:18};
//-↑ 竜シリーズはだいたいそういう感じのタイトルだって --  &new{2019-12-07 (土) 00:24:18};
-↑春竜〜haryu〜もそうでしたね --  &new{2019-12-07 (土) 07:01:12};
-後半のBPM変化ですが、動画で見て取れる変化では8分刻みではなく4分刻みなのでは無いかと思います(分かりやすいのは86、87小節ですかね)。あとは時々bpmが変わらない時もあるみたいです(私が調節してみてそうなったので間違ってるかもしれません)。 --  &new{2019-12-07 (土) 13:02:01};
