*隠し要素解禁条件 [#title]
[[Wii4の収録曲]]
|CENTER:||||||c
|解禁条件|ごほうび|h
|太鼓カウンターが1000になった|楽曲「[[駄々っ子モンスター>難易度表/おに/駄々っ子モンスター]]」|
|太鼓カウンターが1500になった|楽曲「[[太鼓ラブ！>難易度表/おに/太鼓ラブ！]]」|
|太鼓カウンターが2000になった|楽曲「[[ロシア民謡メドレー>難易度表/おに/ロシア民謡メドレー]]」|
|太鼓カウンターが2500になった|楽曲「[[タイコタイム>難易度表/おに/タイコタイム]]」|
|太鼓カウンターが3000になった|楽曲「[[オールナイトdeインデナイ>難易度表/おに/オールナイトdeインデナイ]]」|
|太鼓カウンターが3500になった|楽曲「[[木星>難易度表/おに/木星]]」|
|太鼓カウンターが4000になった|楽曲「[[DON'T CUT>難易度表/おに/DON'T CUT]]」|
|太鼓カウンターが4500になった|楽曲「[[星条旗よ永遠なれ>難易度表/おに/星条旗よ永遠なれ]]」|
|太鼓カウンターが5000になった|楽曲「[[ゴーゴー・キッチン>難易度表/おに/ゴーゴー・キッチン]]」|
|太鼓カウンターが6000になった|楽曲「[[フニクリ・フニクラ>難易度表/おに/フニクリ・フニクラ]]」|
|太鼓カウンターが7000になった|楽曲「[[エゴエゴアタクシ>難易度表/おに/エゴエゴアタクシ]]」|
|太鼓カウンターが7777になった|音色「どんちゃん」|
|太鼓カウンターが8000になった|楽曲「[[双頭の鷲の下に>難易度表/おに/双頭の鷲の下に]]」|
|太鼓カウンターが9000になった|楽曲「[[ヒカリノカナタヘ>難易度表/おに/ヒカリノカナタヘ]]」|
|太鼓カウンターが10000になった|楽曲「[[dance storm>難易度表/おに/dance storm]]」|
|太鼓カウンターが12500になった|音色「赤ちゃんどん」|
|太鼓カウンターが15000になった|楽曲「[[クープランの墓>難易度表/おに/クープランの墓]]」|
|太鼓カウンターが20000になった|楽曲「[[いとしのミルさま>難易度表/おに/いとしのミルさま]]」|
|太鼓カウンターが22500になった|音色「テイルズ」|
|太鼓カウンターが25000になった|楽曲「[[ヘ調の協奏曲　第3楽章>難易度表/おに/ヘ調の協奏曲　第3楽章]]」|
|太鼓カウンターが30000になった|楽曲「[[らいとにんぐ ぱっしょん>難易度表/おに/らいとにんぐ ぱっしょん]]」|
|太鼓カウンターが32500になった|音色「ヘビメタどん」|
|太鼓カウンターが35000になった|楽曲「[[Rotter Tarmination>難易度表/おに/Rotter Tarmination]]」|
